Year,Catch,TAC
1979,516,
1980,508,
1981,2249,
1982,2823,
1983,3122,
1984,4523,
1985,4976,
1986,4803,
1987,8191,
1988,5275,
1989,6306,
1990,6821,
1991,7472,
1992,8562,
1993,4411,
1994,9695,11000
1995,11870,11000
1996,7373,11000
1997,6049,15200
1998,3753,14687
1999,4930,10000
2000,1148,10000
2001,7714,10000
2002,6742,10000
2003,6888,10000
2004,664,10000
2005,1938,10000
2006,2995,10000
2007,1226,10000
2008,388,10000
2009,1410,10000
2010,51,7000
2011,22,7000
2012,465,7000
2013,2274,7000
2014,3118,7000
2015,5213,7000
2016,10437,7000
2017,2679,7000
2018,8289,7000
2019,6874,7000
2020,7806,7000
2021,10134,7000
2022,7677,7000
2023,7062,7000
2024,9323,7000
2025,9323,7000
