year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1980,0,7,45,25,38,17,23,14,18,10,0,2,0,0,0
1982,0,3,72,450,168,96,119,101,84,90,29,75,8,0,0
1991,0,0,1,11,7,6,21,21,7,4,2,2,9,5,1
1994,0,10,59,19,2,0,4,0,0,1,2,2,1,0,0
2004,0,49,7,7,17,43,9,1,6,5,2,1,1,0,0
2005,0,18,54,12,1,8,6,3,1,2,1,2,1,0,1
2006,0,2,4,16,4,7,31,9,13,9,11,9,5,0,0
2007,0,0,19,1,1,1,3,5,1,1,0,1,6,1,0
2009,0,8,77,2,0,1,1,0,2,6,1,2,1,1,1
2010,0,0,0,6,1,3,1,2,5,5,13,8,11,11,4
2014,0,27,10,0,2,0,1,0,0,0,0,0,0,0,0
2016,0,4,35,316,63,27,9,7,1,2,1,0,0,0,0
