Year,Month,Sex,Age_yrs,Weight_kg
2009,3,F,3,0.291
2009,3,F,3,0.393
2009,3,F,3,0.226
2009,3,F,3,0.23
2009,3,F,3,0.272
2009,3,F,3,0.243
2009,3,F,3,0.221
2009,3,F,3,0.277
2009,3,F,3,0.258
2009,3,F,3,0.225
2009,3,F,2,0.167
2009,3,F,2,0.204
2009,3,F,3,0.3
2009,3,F,3,0.276
2009,3,M,2,0.254
2009,3,F,3,0.282
2009,3,F,3,0.176
2009,3,F,3,0.173
2009,3,F,3,0.366
2009,3,F,3,0.252
2009,3,F,2,0.18
2009,3,M,4,0.246
2009,3,F,3,0.247
2009,3,F,3,0.182
2009,3,F,3,0.199
2009,3,F,2,0.195
2009,3,F,3,0.188
2009,3,M,3,0.158
2009,3,F,3,0.222
2009,3,F,2,0.201
2009,3,F,3,0.24
2009,3,F,3,0.333
2009,3,F,3,0.231
2009,3,F,3,0.211
2009,3,F,3,0.249
2009,3,F,7,1.752
2009,3,F,3,0.28
2009,3,F,2,0.157
2009,3,F,2,0.155
2009,3,F,3,0.324
2014,8,F,2,0.19
2014,7,F,3,0.354
2014,7,F,3,0.29
2014,8,F,3,0.238
2014,7,M,3,0.308
2014,7,M,2,0.24
2014,6,F,2,0.23
2014,6,M,3,0.348
2014,7,M,3,0.272
2014,7,M,2,0.208
2014,6,M,2,0.212
2014,7,F,2,0.21
2014,8,F,3,0.26
2014,8,M,2,0.194
2014,6,F,5,1.19
2014,8,M,2,0.158
2014,8,M,2,0.188
2014,7,F,2,0.254
2014,7,M,2,0.14
2014,7,M,2,0.226
2014,7,M,7,0.416
2014,7,M,2,0.224
2014,8,M,2,0.098
2014,6,F,2,0.238
2014,8,M,2,0.142
2014,7,F,2,0.208
2014,7,M,3,0.294
2014,7,M,2,0.172
2014,7,F,2,0.182
2014,8,M,2,0.238
2014,7,M,2,0.256
2014,6,M,2,0.154
2014,7,M,3,0.352
2014,7,M,5,0.414
2014,6,F,2,0.176
2014,7,F,3,0.196
2014,6,M,2,0.166
2014,8,M,2,0.24
2014,6,M,2,0.232
2014,6,M,2,0.216
2016,3,F,4,0.47
2016,2,F,4,0.346
2016,3,M,4,0.324
2016,3,M,4,0.274
2016,3,M,4,0.338
2016,2,M,4,0.356
2016,2,M,6,0.496
2016,4,M,4,0.27
2016,3,M,6,0.34
2016,2,M,5,0.4
2016,4,M,4,0.32
2016,3,M,3,0.266
2016,3,M,4,0.284
2016,2,M,4,0.322
2016,2,M,4,0.344
2016,2,M,4,0.35
2016,3,M,4,0.32
2016,3,M,4,0.338
2016,3,M,4,0.265
2016,3,M,4,0.31
2016,3,M,6,0.345
2016,3,M,4,0.39
2016,3,M,6,0.404
2016,2,M,4,0.288
2016,3,M,5,0.334
2016,3,F,4,0.474
2016,3,M,4,0.268
2016,3,M,4,0.254
2016,2,M,4,0.294
2016,2,F,6,0.366
2016,2,M,5,0.314
2016,2,F,4,0.348
2016,2,M,4,0.362
2016,4,M,5,0.32
2016,4,M,7,0.29
2016,2,M,4,0.278
2016,2,M,5,0.328
2016,3,M,5,0.34
2016,3,M,3,0.28
2016,3,M,3,0.326
2016,3,M,4,0.286
2016,3,M,4,0.258
2016,2,F,5,0.402
2016,2,M,10,0.432
2016,2,F,4,0.492
2016,2,M,4,0.304
2016,3,M,8,0.452
2016,3,M,4,0.276
2016,4,M,5,0.324
2016,4,M,4,0.348
2016,3,M,4,0.295
2016,3,M,4,0.245
2016,2,M,4,0.31
2016,2,F,4,0.548
2016,3,M,6,0.338
2016,3,F,4,0.4
2016,3,M,6,0.398
2016,3,M,4,0.312
2016,3,M,6,0.292
2016,2,M,8,0.342
2016,2,F,7,0.578
2016,2,M,5,0.362
2016,2,F,4,0.38
2016,2,M,6,0.258
2016,3,M,3,0.356
2016,3,M,4,0.292
